brand,support_tweets,customer_tweets_linked
AmazonHelp,79139,63509
sprintcare,7212,38544
AppleSupport,32945,31821
VerizonSupport,6966,29704
ChipotleTweets,7013,22340
Uber_Support,21411,20096
Ask_Spectrum,6960,18233
SpotifyCares,14328,13521
Delta,16372,13318
AmericanAir,14324,12732
TMobileHelp,10823,10039
comcastcares,10860,9106
hulu_support,9501,8925
SouthwestAir,10081,8712
VirginTrains,10425,8614
AskPlayStation,8501,8086
British_Airways,11261,7228
XboxSupport,10359,7217
ATVIAssist,6166,6099
GWRHelp,6745,5694
Tesco,11430,5505
sainsburys,7045,5339
Safaricom_Care,7115,5259
UPSHelp,5613,5162
O2,5648,4886
idea_cares,6548,4202
McDonalds,3971,4134
ArgosHelpers,3971,3462
AirAsiaSupport,4075,3438
AskPayPal,3572,3389
AdobeCare,3180,3277
AskLyft,3511,3257
MicrosoftHelps,5453,3241
AskeBay,4206,3211
AskTarget,3289,3095
marksandspencer,3534,3053
Morrisons,3834,2961
BofA_Help,5198,2833
AskAmex,4784,2556
CoxHelp,3005,2417
SW_Help,3526,2410
ChaseSupport,2804,2395
AlaskaAir,2725,2361
Ask_WellsFargo,2538,2358
JetBlue,3117,2320
GloCare,2617,2315
AirbnbHelp,2482,2277
airtel_care,3594,2134
AzureSupport,3190,1939
LondonMidland,2376,1889
NikeSupport,1912,1878
AldiUK,2241,1715
AskPapaJohns,1744,1645
VirginAtlantic,1906,1634
TacoBellTeam,1593,1539
nationalrailenq,1802,1407
CenturyLinkHelp,1439,1215
ATT,1407,1205
GreggsOfficial,1327,1137
Postmates_Help,1182,1108
DropboxSupport,1737,1087
KFC_UKI_Help,946,908
Walmart,975,905
VirginAmerica,1010,873
ArbysCares,875,809
HPSupport,2394,783
AskCiti,1390,756
askpanera,722,712
DoorDash_Help,671,638
NortonSupport,875,620
AsurionCares,741,596
GoDaddyHelp,679,566
TwitterSupport,569,540
DellCares,2115,535
TfL,825,521
Kimpton,585,511
VMUcare,592,500
SCsupport,760,473
sizehelpteam,522,473
USCellularCares,487,454
AWSSupport,469,434
AskRBC,446,428
DunkinDonuts,464,418
AskVirginMoney,436,414
IHGService,674,412
PearsonSupport,445,383
HiltonHelp,397,376
PandoraSupport,389,370
NeweggService,455,321
MTNC_Care,357,297
YahooCare,311,290
GooglePlayMusic,296,290
BoostCare,328,288
KeyBank_Help,283,240
askvisa,398,236
OPPOCareIN,307,232
MOO,284,231
asksalesforce,257,221
AskRobinhood,211,206
ask_progressive,198,172
AskTigogh,205,164
AskDSC,130,129
AskSeagate,166,108
JackBox,106,103
HotelTonightCX,115,94
CarlsJr,102,92
mediatemplehelp,128,89
OfficeSupport,100,75
